k,N,branch_j,always_neg_js,y1_min,a_at_min,cls_min,y1_max,a_at_max,cls_max,y1_limit
1,1,,,,,,,,,
1,2,0,1,-11.998987297665728,93581171.01850083,a->inf (asymptotic),-9.0,0.999999999999999,interior (finite),-12.0
1,2,2,1,-35.99995750475923,1.0013315394242805,interior (finite),-12.001047149559126,87574355.69193901,a->inf (asymptotic),-12.000000000000007
1,3,0,1,-7.055728083338316,100000000.0,a->inf (asymptotic),-6.904905444040844,0.999999999999999,interior (finite),-7.055728090000841
1,3,2,1,-43.991615395757435,0.3818195244055069,interior (finite),-24.94427278683951,48202906.89121709,right edge of {b>0} a~4.82e+07,-24.94427190999918
1,4,0,1,-6.1435935374405135,100000000.0,a->inf (asymptotic),-6.095324636059424,0.999999999999999,interior (finite),-6.143593539448981
1,4,2,1,-51.99462477901244,0.2678812265331665,interior (finite),-33.8564081053333,34979816.50965746,right edge of {b>0} a~3.5e+07,-33.85640646055106
1,5,0,1,-5.6696972192848705,100000000.0,a->inf (asymptotic),-5.647869255303013,0.999999999999999,interior (finite),-5.6696972201766425
1,5,2,1,-59.990618482956066,4.793495994993743,interior (finite),-42.33030527852455,29308041.290276762,right edge of {b>0} a~2.93e+07,-42.33030277982341
1,6,0,1,-5.372583001553207,100000000.0,a->inf (asymptotic),-5.360806546749656,0.999999999999999,interior (finite),-5.372583002030478
1,6,2,1,-67.99507493041094,0.17153003754693366,interior (finite),-50.627420505981256,25384103.199640248,right edge of {b>0} a~2.54e+07,-50.627416997969604
1,7,0,1,-5.167184269716349,100000000.0,a->inf (asymptotic),-5.160093199390877,0.999999999999999,interior (finite),-5.167184270002523
1,7,2,1,-75.99737119574444,0.14587809762202752,interior (finite),-58.832820050097865,24285896.601714462,right edge of {b>0} a~2.43e+07,-58.83281572999758
1,8,0,1,-5.016133230155264,100000000.0,a->inf (asymptotic),-5.011527760487784,0.999999999999999,interior (finite),-5.016133230340664
1,8,2,1,-83.92117174468804,7.9060432109076855,interior (finite),-66.9838730447471,19253682.48460975,right edge of {b>0} a~1.93e+07,-66.98386676965943
1,9,0,1,-4.9001424503044175,100000000.0,a->inf (asymptotic),-4.896980358422834,0.999999999999999,interior (finite),-4.900142450431512
1,9,2,1,-91.92989552145943,0.11209261576971215,interior (finite),-75.09986473054765,19041970.35730639,right edge of {b>0} a~1.9e+07,-75.09985754956865
1,10,0,1,-4.8081641153781804,100000000.0,a->inf (asymptotic),-4.8058983988962165,0.999999999999999,interior (finite),-4.8081641154691495
1,10,2,1,-99.96561048172423,0.10083078848560702,interior (finite),-83.19184556042028,15778991.117495038,right edge of {b>0} a~1.58e+07,-83.19183588453102
1,11,0,1,-4.733384694364753,100000000.0,a->inf (asymptotic),-4.731705371534637,0.999999999999999,interior (finite),-4.733384694432128
1,11,2,1,-107.95513085723071,0.0914459324155194,interior (finite),-91.26662672506231,14766164.662657147,right edge of {b>0} a~1.48e+07,-91.26661530556825
1,12,0,1,-4.671361735151771,100000000.0,a->inf (asymptotic),-4.670082301661089,0.999999999999999,interior (finite),-4.671361735203073
1,12,2,1,-115.87012240216929,0.08331239048811015,interior (finite),-99.32865133001164,14127327.854791569,right edge of {b>0} a~1.41e+07,-99.32863826479728
1,13,0,1,-4.619069685299509,100000000.0,a->inf (asymptotic),-4.61807239262065,0.999999999999999,interior (finite),-4.6190696853394835
1,13,2,1,-123.92461409165064,0.0770558197747184,interior (finite),-107.3809454833048,13220518.840136802,right edge of {b>0} a~1.32e+07,-107.3809303146608
1,14,0,1,-4.574374157764171,100000000.0,a->inf (asymptotic),-4.573581660612635,0.999999999999999,interior (finite),-4.574374157795926
1,14,2,1,-131.90850146557972,0.07142490613266583,interior (finite),-115.4256439319765,11968265.434251491,right edge of {b>0} a~1.2e+07,-115.42562584220421
1,15,0,1,-4.535725010700331,100000000.0,a->inf (asymptotic),-4.535084787121085,0.999999999999999,interior (finite),-4.535725010725977
1,15,2,1,-139.90635662690985,15.013107289081711,interior (finite),-123.46429668433355,10715489.24667131,right edge of {b>0} a~1.07e+07,-123.46427498927468
1,16,0,1,-4.501968534428814,100000000.0,a->inf (asymptotic),-4.501443896109602,0.999999999999999,interior (finite),-4.501968534449826
1,16,2,1,-147.98076573645,0.06267697121401754,interior (finite),-131.49805543327162,10365881.564542431,right edge of {b>0} a~1.04e+07,-131.49803146555067
1,17,0,1,-4.472227935446041,100000000.0,a->inf (asymptotic),-4.471792622165312,0.999999999999999,interior (finite),-4.472227935463472
1,17,2,1,-155.98586075853584,16.95476273688613,interior (finite),-139.52780055581323,9280834.64118701,right edge of {b>0} a~9.28e+06,-139.52777206453675
1,18,0,1,-4.445824719992108,100000000.0,a->inf (asymptotic),-4.445459532269641,0.999999999999999,interior (finite),-4.44582472000673
1,18,2,1,-163.83439783970974,18.117707389592475,interior (finite),-147.5542045072141,9593847.1975166,right edge of {b>0} a~9.59e+06,-147.55417527999384
1,19,0,1,-4.422225489222877,100000000.0,a->inf (asymptotic),-4.421916125354604,0.999999999999999,interior (finite),-4.422225489235263
1,19,2,1,-171.95982797109323,0.05265519399249062,interior (finite),-155.57780863607755,8685113.73751352,right edge of {b>0} a~8.69e+06,-155.5777745107656
1,20,0,1,-4.40100503145982,100000000.0,a->inf (asymptotic),-4.400740660357575,0.999999999999999,interior (finite),-4.401005031470405
1,20,2,1,-179.94549107187595,20.01338399453482,interior (finite),-163.59903382827278,8038260.284178258,right edge of {b>0} a~8.04e+06,-163.59899496853174
1,21,0,1,-4.381820158523396,100000000.0,a->inf (asymptotic),-4.38159245544066,0.999999999999999,interior (finite),-4.381820158532511
1,21,2,1,-187.97216583424134,0.04764993742177723,interior (finite),-171.61821979631625,8217995.6371337045,right edge of {b>0} a~8.22e+06,-171.6181798414685
1,22,0,1,-4.364390799165515,100000000.0,a->inf (asymptotic),-4.36419328026645,0.999999999999999,interior (finite),-4.364390799173422
1,22,2,1,-195.88190325868914,22.107407427431234,interior (finite),-179.63565348248045,7776000.906038012,right edge of {b>0} a~7.78e+06,-179.63560920082753
1,23,0,1,-4.348486100876299,100000000.0,a->inf (asymptotic),-4.348313655254264,0.999999999999999,interior (finite),-4.3484861008832
1,23,2,1,-203.88900260611135,0.043276736363218216,interior (finite),-187.65156023665554,7776000.906038012,right edge of {b>0} a~7.78e+06,-187.65151389911742
1,24,0,1,-4.333914055182754,100000000.0,a->inf (asymptotic),-4.333762610073345,0.999999999999999,interior (finite),-4.3339140551888145
1,24,2,1,-211.8637849509473,24.152004518893555,interior (finite),-195.66613999618926,6962049.308523532,right edge of {b>0} a~6.96e+06,-195.6660859448131
1,25,0,1,-4.3205136449777495,100000000.0,a->inf (asymptotic),-4.3203799225222586,0.999999999999999,interior (finite),-4.320513644983102
1,25,2,1,-219.99549439213735,0.04005355389127033,interior (finite),-203.67954656788564,6515167.269801761,right edge of {b>0} a~6.52e+06,-203.67948635501796
1,26,0,1,-4.308148825469489,100000000.0,a->inf (asymptotic),-4.308030163485435,0.999999999999999,interior (finite),-4.308148825474236
1,26,2,1,-227.91312721309183,26.095560335164592,interior (finite),-211.69191524279887,6372674.387046956,right edge of {b>0} a~6.37e+06,-211.69185117452471
1,27,0,1,-4.296703857305687,100000000.0,a->inf (asymptotic),-4.296598075507691,0.999999999999999,interior (finite),-4.296703857309919
1,27,2,1,-235.9920120961236,26.975679243124976,interior (finite),-219.70336807773887,5898047.737491686,right edge of {b>0} a~5.9e+06,-219.70329614268888
1,28,0,1,-4.286079649844681,100000000.0,a->inf (asymptotic),-4.2859849488010795,0.999999999999999,interior (finite),-4.286079649848472
1,28,2,1,-243.8618504597317,28.19551762974796,interior (finite),-227.71398220522585,7117720.603744425,right edge of {b>0} a~7.12e+06,-227.7139203501534
1,29,0,1,-4.276190868081134,100000000.0,a->inf (asymptotic),-4.276105752058863,0.999999999999999,interior (finite),-4.276190868084541
1,29,2,1,-251.9938038386385,0.03451113892365457,interior (finite),-235.72389088653063,5580828.534801618,right edge of {b>0} a~5.58e+06,-235.72380913191705
1,30,0,1,-4.2669636232308035,100000000.0,a->inf (asymptotic),-4.2668868406837825,0.999999999999999,interior (finite),-4.266963623233877
1,30,2,1,-259.94434109285515,0.03325982478097622,interior (finite),-243.73310649661727,6734902.804468576,right edge of {b>0} a~6.73e+06,-243.73303637677287
2,1,0,1,-99.99999925668443,0.999999999999999,left edge of {b>0} a~1,-99.99999925668443,0.999999999999999,left edge of {b>0} a~1,None
2,1,2,1,-100.00000074331561,0.999999999999999,left edge of {b>0} a~1,-100.00000074331561,0.999999999999999,left edge of {b>0} a~1,-52.00000000000101
2,2,0,1,-37.08831171041464,100000000.0,a->inf (asymptotic),-35.73362934175701,0.682188986232791,interior (finite),-37.088311754568586
2,2,2,1,-321.7790260286502,3.416802628285357,interior (finite),-138.9116962082472,43637106.17961094,right edge of {b>0} a~4.36e+07,-138.9116882454315
2,3,0,1,-28.752952794627497,100000000.0,a->inf (asymptotic),-28.48593080890778,0.6258697121401753,interior (finite),-28.75295280167474
2,3,2,1,-393.98655409298686,0.35422190237797246,interior (finite),-219.24706991273064,27125225.00345914,right edge of {b>0} a~2.71e+07,-219.24704719832573
2,4,0,1,-25.300334073753618,100000000.0,a->inf (asymptotic),-25.202988206976922,0.5947161385119759,interior (finite),-25.300334076138114
2,4,2,1,-465.67828784124123,0.25787071339173967,interior (finite),-294.69971087236235,20124332.70130687,right edge of {b>0} a~2.01e+07,-294.69966592386237
2,5,0,1,-23.35006515965592,100000000.0,a->inf (asymptotic),-23.303868520000094,0.5758081351689612,interior (finite),-23.350065160742094
2,5,2,1,-537.9110232692196,0.2040642052565707,interior (finite),-368.65000697968924,16675882.851461155,right edge of {b>0} a~1.67e+07,-368.64993483926025
2,6,0,1,-22.08573178498501,100000000.0,a->inf (asymptotic),-22.06021864773346,0.5689866029018293,interior (finite),-22.08573178556918
2,6,2,1,-609.9788624334356,0.16902740926157697,interior (finite),-441.9143749363168,14127327.854791569,right edge of {b>0} a~1.41e+07,-441.91426821443065
2,7,0,1,-21.19643438521267,100000000.0,a->inf (asymptotic),-21.180870140742805,0.557035043804756,interior (finite),-21.19643438556241
2,7,2,1,-681.6219641648474,0.1440270337922403,interior (finite),-514.8037045479379,13075146.952450547,right edge of {b>0} a~1.31e+07,-514.8035656144388
2,8,0,1,-20.53571653534904,100000000.0,a->inf (asymptotic),-20.525527185926613,0.5507773466833542,interior (finite),-20.535716535574796
2,8,2,1,-753.8173390426216,0.12585707133917395,interior (finite),-587.4644957182531,10027680.317396544,right edge of {b>0} a~1e+07,-587.464283464432
2,9,0,1,-20.02500097648469,100000000.0,a->inf (asymptotic),-20.017968792500803,0.5445196495619525,interior (finite),-20.025000976638804
2,9,2,1,-825.6589352862055,17.91848636388079,interior (finite),-659.9752621911049,9280834.64118701,right edge of {b>0} a~9.28e+06,-659.9749990233735
2,10,0,1,-19.618182281870205,100000000.0,a->inf (asymptotic),-19.613125860539405,0.5383843622033484,interior (finite),-19.61818228198005
2,10,2,1,-897.616382318895,0.10027680317396576,interior (finite),-732.3821317870884,8781676.428807443,right edge of {b>0} a~8.78e+06,-732.3818177180331
2,11,0,1,-19.286363873033253,100000000.0,a->inf (asymptotic),-19.282606818662405,0.5382619524405508,interior (finite),-19.28636387311428
2,11,2,1,-969.137724646161,0.09082027534418023,interior (finite),-804.7140229196118,7949872.144094281,right edge of {b>0} a~7.95e+06,-804.713636126898
2,12,0,1,-19.010489638671075,100000000.0,a->inf (asymptotic),-19.0076221254871,0.5324643259339202,interior (finite),-19.01048963873254
2,12,2,1,-1041.3730823231099,0.08331239048811015,interior (finite),-876.9899870377059,7117720.603744425,right edge of {b>0} a~7.12e+06,-876.9895103612815
2,13,0,1,-18.777472600429196,100000000.0,a->inf (asymptotic),-18.775234466746674,0.532004255319149,interior (finite),-18.777472600476923
2,13,2,1,-1113.7912139179882,0.0770558197747184,interior (finite),-949.2230605109002,6962049.308523532,right edge of {b>0} a~6.96e+06,-949.2225273995177
2,14,0,1,-18.5780220213339,100000000.0,a->inf (asymptotic),-18.57624172853731,0.532004255319149,interior (finite),-18.578022021371705
